,a股市值(不含限售股),主营产品名称,"净资产收益率roe(加权,公布值)",城市,市净率(pb),市盈率(pe),归属于母公司所有者的净利润,总市值,总股本,所属同花顺行业,新股上市日期,流通a股,股票代码,股票简称,营业收入,资产负债率,销售毛利率
2642,3140649385.85,聚烯烃类线缆||其他绝缘材料线缆||线缆组件||氟塑料线缆||氟塑料类||聚烯烃类||其他绝缘材料类||组件产品||技术服务费||材料||技术服务类||水处理设备||光电产品||光电系统||海水淡化装备||海水淡化装置||高性能传输线缆和组件||光电系统和fc产品||其他,1.58,南京市,2.4354,115.717,58694783.44,4868918746.25,312310375.0,国防军工-军工电子-军工电子Ⅲ,20150422,201452815.0,300447.SZ,全信股份,651700365.34,21.6822,38.0638
2643,4967160034.96,金融出入口控制系统||自助银行智能安防系统||银行安放综合联网管理系统结构图||atm智能预警系统||高清摄像机||宽动态针孔摄像机||门禁控制器||金库守护神||指纹机||拾音器||ip网络语音对讲系统||营业网点音视频监控系统||智能视频设备||出入口控制设备||数字语音设备||安防辅助器材||平安城市运营服务||安防系统||安防设备||物联网平台建设及解决方案||物联设备及软件销售||uwb产品及解决方案||租赁收入||低代码开发平台工具||低代码智慧物联网数据平台||企业全域数字化赋能引擎系列产品||大数据||人工智能技术和产品,-1.88,广州市,4.2614,-165.9894,8487917.09,5229477020.67,676517079.0,计算机-IT服务-IT服务Ⅲ,20150424,642582152.0,300448.SZ,浩云科技,322042757.16,4.9449,18.0356
2644,8142185260.8,各型号水泥||高性能预拌混凝土||低标号混凝土||预混||预拌混凝土||商混||混凝土||商品砼||干混砂浆||对外维修||对外检测||外销水泥||外销外加剂||对外租赁||外销管片||劳务收入||材料销售收入||外销砂石||对外销售涂料||材料销售||科研费||由水泥||砂石骨料||水及外加剂||矿物掺合料,-2.44,乌鲁木齐市,0.9556,-30.8674,9688923.09,8142185260.8,1262354304.0,建筑材料-建筑材料-水泥,20091103,1262354304.0,002302.SZ,西部建设,13880551561.91,69.9902,6.5679
2645,1191217453.1,原生沥青混合料搅拌设备||原再生一体式搅拌设备||沥青混合料厂拌热再生设备||rap柔性破碎筛分设备,7.34,泉州市,4.4419,46.3244,44615232.45,2599359541.85,92405245.0,机械设备-工程机械-工程机械Ⅲ,20240308,42346870.0,920706.BJ,铁拓机械,301898584.67,30.1676,31.3568
2646,706771366.56,微小功率设备||小功率设备||大功率设备||配件及其他,7.92,武汉市,6.0513,53.8203,55592641.51,2825036121.6,80074720.0,电力设备-电池-锂电专用设备,20230601,20033202.0,920779.BJ,武汉蓝电,103221789.22,17.072,59.6599
2647,3428493149.25,交通信息化||轨道交通||智慧停车||公路与城市交通||创新与衍生业务,-12.98,厦门市,17.0958,-90.3998,-6983767.76,4219932600.0,76740000.0,计算机-IT服务-IT服务Ⅲ,20230816,62347575.0,920748.BJ,路桥信息,41918299.57,47.9042,22.8045
2648,7432188670.52,运输||商品销售业务||试验业务||租赁||利息||让渡资产使用权||施工业||租赁业||金融业||商品销售||工程||新疆振兴||公路工程||公路交通||公路桥梁||交通基础设施建设||劳务分包||房地产销售||教育服务,-2.67,乌鲁木齐市,2.5133,-56.7654,5020588.41,7432188670.52,1268291582.0,建筑装饰-建筑装饰-基础建设,20091111,1268291582.0,002307.SZ,北新路桥,7675965356.43,88.5938,15.2869
2649,8642474268.0,压缩机零部件||工程机械零部件||注塑机零部件||食品机械零部件||压缩机部件||工程机械部件||其他部件,7.45,杭州市,3.5979,36.7061,146274905.66,8702212640.0,240592000.0,机械设备-通用设备-其他通用设备,20210301,238940400.0,605060.SH,联德股份,930288734.35,20.4004,37.1824
2650,3914302443.94,铜导体||电缆料||船用电缆||光缆及其他电缆||光伏组件及电池片||光伏电站||电站运营维护||燃耐火软电缆||阻燃耐火软电缆||通信电缆||通信特种电缆||通信网络||船缆||电缆||新材料||阻燃耐火电缆||太阳能||太阳能业务||线缆||电缆业务||特种电缆||高端线缆||苹果线缆||新能源||通信产品||通讯||晶体硅太阳能电池片||电池组件||太阳能电站||大型钢结构件||光电产品||数码电池||集光纤电缆||金属导体||特种通信设备||光棒||扶贫电站||材料及租金||线缆业务,-8.26,苏州市,5.2045,-51.7544,-454010793.24,9684682539.7,3007665385.0,电力设备-电网设备-线缆部件及其他,20091127,1215621877.0,002309.SZ,中利集团,1358000121.86,66.7177,10.4904
2651,626333483.64,立式胀管机||卧式胀管机||长u机||冷凝管折弯机||小u机||无屑小u弯管烘干套环一体机||高速翅片生产线||穿管机||弯管机||开料机||管端机||旋压封口机||冲拔孔机||一体机||破碎机||srf/rdf生产线成套设备||废渣预处理系统||锂电池热压整形设备||风电叶片根部数控铣削机||裁布机||磨刀机||零部件及其他,12.54,中山市,4.14,35.4207,35468959.12,2294120000.0,83000000.0,机械设备-专用设备-其他专用设备,20251010,22660401.0,920080.BJ,奥美森,277392117.71,46.5806,46.9294
2652,4369627455.3,汽车内饰皮革||牛皮革整皮||牛皮革裁片||超纤||超纤革||绒面超纤||pu,-2.39,嘉兴市,2.9054,-82.9569,12088435.82,4369627455.3,162198495.0,汽车-汽车零部件-车身附件及饰件,20201123,162198495.0,605068.SH,明新旭腾,1043997083.33,56.4874,14.751
2653,3692883468.75,塑壳断路器||万能式断路器||接触器||小型断路器||小型漏电断路器||小三箱成套||互感器||电表||变频器||高压断路器||配电电器||控制电器||终端电器||电源电器||仪表电器||成套设备||其他||配电器||仪器仪表,5.83,温州市,2.078,26.4511,103853820.51,3709913418.75,504750125.0,电力设备-电网设备-输变电设备,20200807,502433125.0,605066.SH,天正电气,2169930015.85,44.5751,24.9222
2654,866019550.62,生态森林||自然保护区建设||采煤沉陷区综合治理(棕地治理)||水土流失综合治理||农村土地综合整治||河湖水环境治理||河湖湿地修复||近岸海域综合治理||生态景观建设||规划设计服务||水环境治理||生态修复||生态保护,-2.46,海淀区,2.5587,-76.9849,3979715.29,2178370135.62,211697778.0,环保-环境治理-综合环境治理,20210816,84161278.0,605069.SH,正和生态,214256044.68,69.4753,-7.0339
2655,3399068576.64,硬脂酸镁||羧甲淀粉钠||羟丙甲纤维素||羟丙纤维素||薄膜包衣粉||羧甲基纤维素钠||药用糊精||药用淀粉||二氧化硅||预胶化淀粉||交联羧甲基纤||维素钠||聚维酮k30||交联聚维酮||微晶纤维素||药用辅料||医药辅料||纤维素及其衍生物类产品||淀粉及其衍生物类产品||无机盐类产品||场地出租||无机盐类||羧甲基淀粉钠||低取代羟丙纤维素||交联羧甲纤维素钠||糊精||可溶性淀粉||倍他环糊精||蔗糖丸芯||聚丙烯酸树脂Ⅱ||聚丙烯酸树脂Ⅲ||聚丙烯酸树脂Ⅳ||硬脂富马酸钠||龙胆酸（供注射用）||邻菲罗啉（供注射用）||羧甲纤维素钠（供注射用）||淀粉及衍生物类||其他类产品||填充剂||黏合剂||崩解剂||润滑剂||包衣材料,13.69,淮南市,3.6494,19.2598,122425859.03,3404211996.24,234449862.0,医药生物-化学制药-原料药,20150515,234095632.0,300452.SZ,山河药辅,696502709.9,36.4464,31.875
2656,3332300960.9,输液输血类||留置导管类||血液净化类||注射类||医疗保健||场地出租||其他医用耗材类||血液净化类产品||静脉留置针||正压留置针||中心静脉导管包||自毁注射器||回缩自毁注射器||连体注射器||精密过滤输液器||避光输液器||无邻苯自动止液输液器||自动止液精密过滤输液器||输血器||一次性使用生物蛋白胶配制器||低通透析器||血液透析系列||机用采血器||透析液||注射类产品||留置导管类产品||输液输血类产品||心胸外科类||防护类||血液透析机||一次性使用空心纤维血液透析器||血液透析浓缩液||一次性使用血液透析管路||血液透析体外循环管路||血液透析干粉||透析液过滤器||一次性使用回缩自毁式疫苗注射器||带针||一次性使用无菌自毁型固定剂量疫苗注射器||一次性使用自毁式无菌注射器||正压静脉留置针||密闭式静脉留置针||一次性使用静脉留置针||一次性使用精密过滤输液器||一次性使用避光输液器||一次性使用带静脉留置针式输液器||一次性使用人工心肺机体外循环管道包||一次性使用心脏冷停搏液灌注器||一次性使用医用口罩||医用外科口罩||医用防护口罩||血液透析设备||血液透析制水系统||血液透析器||pta高压球囊扩张导管||血液透析粉||一次性使用机用采血器||血液净化补液管路||透析器复用机||一次性使用中心静脉导管包||一次性使用透析用留置针||一次性使用精密过滤输液器带针||一次性使用避光精密过滤输液器||一次性使用输液器||医用无针注射器||人工心肺机体外循环管道包||一次性使用血液微栓过滤器||一次性使用心肺转流血路接头||糖尿病治疗器械||早中期肾脏病干预和治疗器械||血管鞘组等||给药器具类||其他类,13.5,南昌市,3.5006,19.6015,167914693.97,4834500386.5,522084275.0,医药生物-医疗器械-医疗耗材,20150515,359859715.0,300453.SZ,三鑫医疗,1167602224.43,36.1151,35.5009
